group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Fishes,Mylopharyngodon piceus,Black Carp,2011,,37.05249,-89.37849,Alexander,Mississippi River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1993,unknown,37.068944,-89.178772,Alexander,Cache River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1994,,37.107367,-89.326996,Alexander,Lake Creek,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1994,,37.1077,-89.3272,Alexander,Lake Creek,,,,,,,,,,,,
Plants,Schoenoplectus mucronatus,Bog Bullrush,1993,,37.10785168,-89.31622265,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1993,,37.108124,-89.327989,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1993,,37.10821,-89.327409,Alexander,Horseshoe Lake,,,,,,,,,,,,
Plants,Schoenoplectus mucronatus,Bog Bullrush,1996,,37.10843023,-89.3523727,Alexander,,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1993,,37.10975,-89.330542,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2005,,37.1107,-88.5498,Massac,Mud Creek,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1998,,37.11169536,-89.33016135,Alexander,Horseshoe Lake,,,,,,,,,,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1993,,37.12228379,-89.29811196,Alexander,,,,,,,,,,,,,
Plants,Acorus calamus,"Calamus, Sweet Flag",1993,,37.12331091,-89.37215865,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1999,,37.12502594,-89.31986463,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2004,,37.12502594,-89.31986463,Alexander,Lake Creek,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1999,,37.12502594,-89.31986463,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,1999,,37.12502594,-89.31986463,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1993,,37.12905,-89.359531,Alexander,Horseshoe Lake,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1992,,37.1341,-89.2681,Alexander,Cache River,,,,,,,,,,,,
Plants,Schoenoplectus mucronatus,Bog Bullrush,1993,,37.13724855,-89.3159079,Alexander,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,1993,,37.13807477,-89.35195496,Alexander,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,1996,,37.13807477,-89.35195496,Alexander,,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1996,,37.1387,-89.40468,Alexander,Mississippi River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.146816,-89.28948,Alexander,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.146816,-89.28948,Alexander,,,,,,,,,,,,,
Fishes,Mylopharyngodon piceus,Black Carp,2003,failed,37.1489,-89.355,Alexander,Horseshoe Lake,,,,,,,,,,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1996,,37.15251916,-89.35162889,Alexander,Horseshoe Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.16862811,-89.08407994,Pulaski,,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1997,unknown,37.1747,-88.4477,Pope,Alcorn Creek,,,,,,,,,,,,
