group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,HUC,,,
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2008,failed,Cook,Bubbly Creek,71200030107,13,33,http://myfwc.com/wildlifehabitats/managed/alligator/facts/
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2010,failed,Cook,Chicago River,71200030106,13,33,
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2005,failed,Lake,East Loon Lake,71200061004,13,33,
Fishes,Alosa sapidissima,American Shad,1873,failed,Cook,Calumet River,40400010603,10,25,http://www.asmfc.org/uploads/file/Chp2_5_Shad_RiverHerring.pdf
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=275&AT=bighead+carp
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,unknown,Cook,Lake Calumet,40400010603,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2003,unknown,Cook,Mckinley Park Lake,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,extirpated,Cook,Columbus Park Lagoon,71200040705,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,extirpated,Cook,Garfield Park Lagoon,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2012,unknown,Cook,Garfield Park Lagoon,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2008,eradicated,Cook,Lincoln Park South Lagoon,40400020502,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Schiller Park Pond,71200040506,4,46,
Plants,Egeria densa,Brazilian Waterweed,2008,NA,Lake,NA,71200040302,,,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Cook,Powderhorn Lake,40400010603,8,?,http://issg.org/database/species/ecology.asp?si=1560&fr=1&sts=&lang=EN
Plants,Najas minor,Brittle Waternymph,2011,Collected,Will,Whalon Lake,71200040805,8,?,
Plants,Najas minor,Brittle Waternymph,2010,collected,Cook,NA,71200040705,8,?,
Plants,Najas minor,Brittle Waternymph,2010,collected,DuPage,NA,71200040803,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2010,Collected,Lake,Round Lake,71200061008,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Round Lake,71200061008,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Third Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2011,Collected,Lake,Sterling Lake,71200040301,8,?,
Plants,Najas minor,Brittle Waternymph,1998,NA,DuPage,Mallard Lake,71200040802,8,?,
Plants,Najas minor,Brittle Waternymph,2001,NA,Cook,Powderhorn Lake,40400010603,8,?,
Fishes,Salmo trutta,Brown Trout,1999,NA,Cook,Calumet River,71200030407,18,24,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=238&AT=brown+trout
Fishes,Salmo trutta,Brown Trout,1991,NA,Cook,Chicago River,71200030107,18,24,
Fishes,Salmo trutta,Brown Trout,1991,NA,Cook,North Shore Channel,71200030104,18,24,
Fishes,Salmo trutta,Brown Trout,1999,NA,Lake,trib. Lake Michigan,NA,18,24,
Fishes,Salmo trutta,Brown Trout,1999,NA,Lake,trib. Lake Michigan,40400020501,18,24,
Fishes,Salmo trutta,Brown Trout,1997,NA,Lake,Waukegan River,40400020501,18,24,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,71200040702,10,30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3601151/
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1994,NA,Cook,Des Plaines River,71200040706,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1997,NA,Cook,Stony Creek,71200030401,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1943,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1979,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,collected,Cook,Hyde Park Pond,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,DuPage,West Branch DuPage River,71200040805,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,NA,Cook,Hyde Park Pond,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,71200040706,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,71200040506,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,DuPage,NA,71200040402,10,30,
