group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude,Min_Temp,Max_Temp
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2008,failed,Cook,Bubbly Creek,-87.6598,41.8339,13,33
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2010,failed,Cook,Chicago River,-87.692,41.9396,13,33
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2005,failed,Lake,East Loon Lake,-88.07320193,42.45349655,13,33
Fishes,Alosa sapidissima,American Shad,1873,failed,Cook,Calumet River,-87.530479,41.73238,10,25
Plants,Butomus umbellatus,Flowering Rush,1957,NA,Cook,NA,-87.85,41.8333,,
Fishes,Carassius carassius,Crucian Carp,1910,failed,Cook,NA,-87.654419,41.853196,2,22
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.8698,41.6698,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.8698,41.6698,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1994,NA,Cook,Des Plaines River,-88.01729,41.68001,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,-87.8761,41.6896,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,-87.884,41.692,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1997,NA,Cook,Stony Creek,-87.75965,41.70228,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1943,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1979,NA,Cook,Jackson Park Lagoon,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.582,41.785,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,collected,Cook,Hyde Park Pond,-87.593938,41.794201,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,DuPage,West Branch DuPage River,-88.1872,41.7952,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,NA,Cook,Hyde Park Pond,-87.58251,41.80276,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,-87.82143,41.82121,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.03656,41.88351,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.0387,41.8854,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.0387,41.8854,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,-87.82981,41.8926,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,DuPage,NA,-88.01164,41.91744,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2006,NA,Cook,Des Plaines River,-87.8544,41.9542,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,Salt Creek,-87.99075,41.98364,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2002,NA,Cook,Kollar Park Pond,-88.1694,42.0097,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Busse Lake,-88.01053,42.02628,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Poplar Creek,-88.2304,42.0331,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Poplar Creek,-88.21442,42.04486,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,Cook,Poplar Creek,-88.21442,42.04499,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Poplar Creek,-88.20319,42.04849,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1998,NA,Cook,Beck Lake,-87.87352,42.07171,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2007,NA,Cook,Bulrush Pond,-88.1606,42.12,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Lake,Middle Fork North Branch Chicago River,-87.8376,42.17869,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,NA,Lake,Squaw Creek,-88.12657,42.36722,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,collected,Lake,Squaw Creek,-88.137305,42.375021,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1992,NA,Lake,Dead River,-87.80696,42.40972,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2005,NA,Lake,Cedar Lake,-88.0813,42.4196,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Cedar Lake,-88.08304,42.42468,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Turner Lake,-88.18864,42.44814,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1988,NA,Lake,Fox River,-88.17794,42.47112,10,30
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Fox River,-88.17865,42.4789,10,30
Fishes,Colossoma or Piaractus sp.,Unidentified Pacu,2004,failed,DuPage,Lake Becera,-88.093196,41.893141,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,Cook,NA,-87.65722,41.79611,,
Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.77821,41.67411,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.7935,41.67719,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.582509,41.687164,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.582509,41.687164,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.5882,41.68747,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.587539,41.687607,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2011,failed,Cook,Columbus Park Lagoon,-87.766557,41.875888,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2011,NA,Cook,Lake Calumet,-87.5914972,41.6778361,0,40
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.5914972,41.6778361,0,40
Plants,Egeria densa,Brazilian Waterweed,2008,NA,Lake,NA,-87.9845,42.2971,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2003,failed,Lake,Flint Lake,-88.16915,42.20319,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2000,failed,Lake,Grandwood Park Lake,-87.9916,42.39072,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2012,NA,Lake,Spring Lake,-88.12405,42.44752,,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1999,NA,Cook,Calumet River,-87.57245,41.65893,4,24
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1991,NA,Cook,Chicago Sanitary and Ship Canal,-87.67542,41.84171,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1993,NA,Cook,Chicago River,-87.6368003,41.87571347,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Branch Chicago River,-87.64112,41.89134,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,-87.70959,41.99184,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Shore Channel,-87.70959,41.99184,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Shore Channel,-87.71042,42.01187,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,-87.70974,42.04092,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1991,NA,Cook,North Shore Channel,-87.68512,42.07541,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,-87.68512,42.07541,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1993,NA,Cook,North Shore Channel,-87.68512,42.07541,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1998,NA,Cook,North Shore Channel,-87.68512,42.07541,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956,4,20
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956,4,20
Plants,Glyceria maxima,Reed Mannagrass,2006,unknown,Lake,NA,-87.8136,42.4285,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499,4,46
