number,HUC12_1,group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude
19,71200040601,Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,-87.7462,41.4849
25,71200030202,Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,-87.7423,41.5136
25.1,71200030202,Fishes,Morone americana,White Perch,2011,NA,Cook,Butterfield Creek,-87.64954,41.53986
19.1,71200040601,Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,-87.7428,41.5447
23,71200030203,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,2011,NA,Cook,North Creek,-87.59577,41.55686
23.1,71200030203,Fishes,Morone americana,White Perch,2001,NA,Cook,North Creek,-87.59587319,41.55702024
38,71200030405,Plants,Puccinellia distans,Weeping Alkaligrass,1994,NA,Cook,NA,-87.6870822,41.62463341
38.1,71200030405,Fishes,Morone americana,White Perch,2001,NA,Cook,Little Calumet River,-87.641591,41.629359
33,40400010603,Plants,Najas minor,Brittle Waternymph,2012,Collected,Cook,Powderhorn Lake,-87.533498,41.640865
37,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,-87.57822,41.64108
37.1,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,-87.57822,41.64108
37.2,71200030407,Fishes,Morone americana,White Perch,1998,NA,Cook,Little Calumet River,-87.57822,41.64108
37.3,71200030407,Fishes,Morone americana,White Perch,2000,NA,Cook,Little Calumet River,-87.57822,41.64108
37.4,71200030407,Fishes,Morone americana,White Perch,2011,NA,Cook,Little Calumet River,-87.5632,41.64168
36,71200030404,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,2001,NA,Cook,Midlothian Creek,-87.680148,41.643634
37.5,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,-87.5605313,41.64502308
37.6,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,-87.5605313,41.64502308
37.7,71200030407,Fishes,Morone americana,White Perch,1995,NA,Cook,Calumet River,-87.5605313,41.64502308
37.8,71200030407,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet River,-87.5605313,41.64502308
37.9,71200030407,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet River,-87.5605313,41.64502308
37.1,71200030407,Fishes,Morone americana,White Perch,2000,NA,Cook,Calumet River,-87.5605313,41.64502308
37.11,71200030407,Fishes,Morone americana,White Perch,1999,NA,Cook,Little Calumet River,-87.59888449,41.64858114
37.12,71200030407,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499
37.13,71200030407,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499
37.14,71200030407,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499
37.15,71200030407,Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499
37.16,71200030407,Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,-87.5843,41.6499
34,71200030403,Fishes,Morone americana,White Perch,2000,NA,Cook,Calumet Sag Channel,-87.68732258,41.65261692
34.1,71200030403,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,-87.66117134,41.65495456
37.17,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,-87.6411503,41.65759899
37.18,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,-87.6411503,41.65759899
37.19,71200030407,Fishes,Salmo trutta,Brown Trout,1999,NA,Cook,Calumet River,-87.57245,41.65893
37.2,71200030407,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1999,NA,Cook,Calumet River,-87.57245,41.65893
37.21,71200030407,Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,-87.57245,41.65893
33.1,40400010603,Fishes,Morone americana,White Perch,1998,NA,Cook,Calumet River,-87.57138867,41.66193912
34.2,71200030403,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,-87.75259,41.66298
34.3,71200030403,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,-87.75258772,41.66298063
37.22,71200030407,Fishes,Morone americana,White Perch,1998,NA,Cook,Little Calumet River,-87.62194469,41.663427
37.23,71200030407,Fishes,Morone americana,White Perch,1999,NA,Cook,Little Calumet River,-87.62194469,41.663427
63,71200040702,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.8698,41.6698
63.1,71200040702,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.8698,41.6698
57,71200040705,Fishes,Morone americana,White Perch,1999,NA,Cook,Chicago Sanitary and Ship Canal,-88.02824839,41.67059059
34.4,71200030403,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.77821,41.67411
33.2,40400010603,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,2001,NA,Cook,Lake Calumet,-87.58786578,41.67554236
33.3,40400010603,Fishes,Osmerus mordax,Rainbow Smelt,1982,NA,Cook,Lake Calumet,-87.58786578,41.67554236
33.4,40400010603,Fishes,Morone americana,White Perch,1991,NA,Cook,Lake Calumet,-87.58786578,41.67554236
33.5,40400010603,Fishes,Morone americana,White Perch,2000,NA,Cook,Lake Calumet,-87.58786578,41.67554236
33.6,40400010603,Fishes,Morone americana,White Perch,2001,NA,Cook,Lake Calumet,-87.58786578,41.67554236
34.5,71200030403,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.7935,41.67719
60,71200040706,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1994,NA,Cook,Des Plaines River,-88.01729,41.68001
63.2,71200040702,Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,-87.84078343,41.68426996
33.7,40400010603,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,unknown,Cook,Lake Calumet,-87.5949,41.6862
33.8,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.582509,41.687164
33.9,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.582509,41.687164
33.1,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.5882,41.68747
33.11,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.587539,41.687607
63.3,71200040702,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,-87.8761,41.6896
63.4,71200040702,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,-87.884,41.692
63.5,71200040702,Plants,Puccinellia distans,Weeping Alkaligrass,1997,NA,Cook,NA,-87.8460456,41.69613794
63.6,71200040702,Fishes,Morone americana,White Perch,1998,NA,Cook,Chicago Sanitary and Ship Canal,-87.94559025,41.69700395
63.7,71200040702,Fishes,Morone americana,White Perch,2000,NA,Cook,Chicago Sanitary and Ship Canal,-87.94559025,41.69700395
33.12,40400010603,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1997,NA,Cook,Calumet River,-87.55309526,41.69712485
33.13,40400010603,Fishes,Oncorhynchus mykiss,Rainbow Trout,1997,NA,Cook,Calumet River,-87.55309526,41.69712485
31,71200030401,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1997,NA,Cook,Stony Creek,-87.75965,41.70228
33.14,40400010603,Fishes,Alosa sapidissima,American Shad,1873,failed,Cook,Calumet River,-87.530479,41.73238
41,71200040805,Plants,Najas minor,Brittle Waternymph,2011,Collected,Will,Whalon Lake,-88.094795,41.743654
27,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.1,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.2,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.3,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.4,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,-87.582,41.785
