"","HUC12_1","Population"
"1","040400010603",32903
"2","040400020501",141940
"3","040400020502",304115
"4","040400020503",164591
"5","071200030101",70712
"6","071200030102",31256
"7","071200030103",67559
"8","071200030104",219673
"9","071200030105",182563
"10","071200030106",761989
"11","071200030107",1001470
"12","071200030201",9265
"13","071200030202",70342
"14","071200030203",35005
"15","071200030204",56257
"16","071200030305",19834
"17","071200030401",145027
"18","071200030402",42844
"19","071200030403",129031
"20","071200030404",74898
"21","071200030405",129131
"22","071200030407",87858
"23","071200040201",24057
"24","071200040202",51089
"25","071200040301",6785
"26","071200040302",60115
"27","071200040401",169231
"28","071200040402",80204
"29","071200040403",101809
"30","071200040404",159516
"31","071200040501",71075
"32","071200040502",98590
"33","071200040503",110789
"34","071200040504",37464
"35","071200040505",204100
"36","071200040506",240906
"37","071200040601",24861
"38","071200040602",4709
"39","071200040603",14355
"40","071200040701",57907
"41","071200040702",14606
"42","071200040703",21992
"43","071200040704",29751
"44","071200040705",376560
"45","071200040706",44185
"46","071200040801",119304
"47","071200040802",107814
"48","071200040803",128773
"49","071200040804",113324
"50","071200040805",120685
"51","071200040806",19178
"52","071200040807",3942
"53","071200061004",10372
"54","071200061005",1693
"55","071200061006",3474
"56","071200061007",11442
"57","071200061008",65261
"58","071200061009",17631
"59","071200061010",5661
"60","071200061103",16935
"61","071200061104",24777
"62","071200061105",13168
"63","071200061202",8173
"64","071200061205",95541
"65","071200070101",20461
"66","071200070104",6472
"67","071200070107",11496
"68","071200070108",38275
